Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Caenorhabditis_elegans	ceh-75	WBGene00008242	Homeobox	C50H2.6.1;	183690
Caenorhabditis_elegans	ztf-15	WBGene00011066	zf-C2H2	R06C7.9b.2;R06C7.9a.1;R06C7.9a.2;R06C7.9b.1;	172470
Caenorhabditis_elegans	nhr-119	WBGene00003709	RXR-like	K12H6.1.1;	187340
Caenorhabditis_elegans	eyg-1	WBGene00013147	PAX	Y53C12C.1.1;	190204
Caenorhabditis_elegans	zip-11	WBGene00021082	TF_bZIP	W08E12.1.1;	177099
Caenorhabditis_elegans	pax-3	WBGene00003939	PAX	F27E5.2.1;	185022
Caenorhabditis_elegans	nhr-52	WBGene00003642	GCNF-like	K06B4.2.1;	3565623
Caenorhabditis_elegans	B0310.2	WBGene00015138	zf-C2H2	B0310.2a.1;B0310.2b.1;	180403
Caenorhabditis_elegans	hlh-19	WBGene00001962	bHLH	F57C12.3.1;	186449
Caenorhabditis_elegans	aptf-3	WBGene00009203	AP-2	F28C6.2.1;	185047
Caenorhabditis_elegans	ccch-5	WBGene00013319	zf-CCCH	Y57G11C.25.1;	178412
Caenorhabditis_elegans	ceh-1	WBGene00000428	Homeobox	F16H11.4.1;	191614
Caenorhabditis_elegans	lin-29	WBGene00003015	zf-C2H2	W03C9.4c.1;W03C9.4b.1;W03C9.4c.2;W03C9.4a.1;	174830
Caenorhabditis_elegans	dve-1	WBGene00022861	Homeobox	ZK1193.5a.1;ZK1193.5e.1;ZK1193.5a.2;ZK1193.5d.1;ZK1193.5e.2;ZK1193.5c.1;ZK1193.5c.2;ZK1193.5d.2;	180398
Caenorhabditis_elegans	fkh-8	WBGene00001440	Fork_head	F40H3.4b.2;F40H3.4b.1;F40H3.4a.1;F40H3.4a.2;	174026
Caenorhabditis_elegans	nhr-129	WBGene00003719	RXR-like	C50B6.14.1;	183635
Caenorhabditis_elegans	lsl-1	WBGene00009937	zf-C2H2	F52F12.4.1;F52F12.4.2;	172844
Caenorhabditis_elegans	ham-2	WBGene00001821	zf-C2H2	C07A12.1b.1;C07A12.1a.1;	180727
Caenorhabditis_elegans	F58G1.2	WBGene00010264	zf-C2H2	F58G1.2a.2;F58G1.2a.1;F58G1.2b.1;F58G1.2a.3;	174931
Caenorhabditis_elegans	hmg-4	WBGene00001974	HMG	T20B12.8.1;T20B12.8.2;	176052
Caenorhabditis_elegans	nhr-25	WBGene00003623	SF-like	F11C1.6b.2;F11C1.6a.1;F11C1.6a.2;F11C1.6b.1;	181432
Caenorhabditis_elegans	B0348.1	WBGene00015151	zf-LITAF-like	B0348.1.1;	181935
Caenorhabditis_elegans	ceh-81	WBGene00018434	Homeobox	F45C12.3.1;	185767
Caenorhabditis_elegans	unc-98	WBGene00006827	zf-C2H2	F08C6.7.1;	181020
Caenorhabditis_elegans	M03D4.4	WBGene00019751	zf-C2H2	M03D4.4a.1;M03D4.4b.1;	177375
Caenorhabditis_elegans	K09A11.1	WBGene00010704	zf-BED	K09A11.1.1;	187182
Caenorhabditis_elegans	klu-2	WBGene00022592	zf-C2H2	ZC328.2.1;	172339
Caenorhabditis_elegans	crh-1	WBGene00000793	TF_bZIP	Y41C4A.4g.1;Y41C4A.4c.1;Y41C4A.4e.1;Y41C4A.4b.1;Y41C4A.4a.1;Y41C4A.4f.1;Y41C4A.4d.1;	176597
Caenorhabditis_elegans	klf-3	WBGene00003480	zf-C2H2	F54H5.4b.1;F54H5.4a.1;	191713
Caenorhabditis_elegans	ceh-23	WBGene00000446	Homeobox	ZK652.5.1;	176096
Caenorhabditis_elegans	bro-1	WBGene00000272	CBF	F56A3.5.1;	172158
Caenorhabditis_elegans	Y116A8C.19	WBGene00013796	zf-CCCH	Y116A8C.19.1;	178477
Caenorhabditis_elegans	nhr-67	WBGene00003657	RXR-like	C08F8.8.1;	178024
Caenorhabditis_elegans	F47E1.3	WBGene00018567	zf-C2H2	F47E1.3.1;	41657004
